sample,Tree,Latitude,Longitude
A22T141.2_3,A22T141,51.445398,-0.2580496
A22T141.2_30,A22T141,51.445398,-0.2580496
A22T141.2_31,A22T141,51.445398,-0.2580496
A22T141.2_32,A22T141,51.445398,-0.2580496
A22T141.2_33,A22T141,51.445398,-0.2580496
A22T141.2_4,A22T141,51.445398,-0.2580496
A22T141.2_5,A22T141,51.445398,-0.2580496
A22T141.2_6,A22T141,51.445398,-0.2580496
A22T141.2_7,A22T141,51.445398,-0.2580496
A22T141.2_8,A22T141,51.445398,-0.2580496
A22T141.2_9,A22T141,51.445398,-0.2580496
A22T141.3_1,A22T141,51.445398,-0.2580496
A22T141.3_10,A22T141,51.445398,-0.2580496
A22T141.3_11,A22T141,51.445398,-0.2580496
A22T141.3_12,A22T141,51.445398,-0.2580496
A22T141.3_13,A22T141,51.445398,-0.2580496
A22T141.3_14,A22T141,51.445398,-0.2580496
A22T141.3_15,A22T141,51.445398,-0.2580496
A22T141.3_16,A22T141,51.445398,-0.2580496
A22T141.3_17,A22T141,51.445398,-0.2580496
A22T141.3_18,A22T141,51.445398,-0.2580496
A22T141.3_19,A22T141,51.445398,-0.2580496
A22T141.3_2,A22T141,51.445398,-0.2580496
A22T141.3_3,A22T141,51.445398,-0.2580496
A22T141.3_4,A22T141,51.445398,-0.2580496
A22T141.3_5,A22T141,51.445398,-0.2580496
A22T141.3_6,A22T141,51.445398,-0.2580496
A22T141.3_7,A22T141,51.445398,-0.2580496
A22T141.3_8,A22T141,51.445398,-0.2580496
A22T141.3_9,A22T141,51.445398,-0.2580496
A22T141.4_1,A22T141,51.445398,-0.2580496
A22T141.4_10,A22T141,51.445398,-0.2580496
A22T141.4_11,A22T141,51.445398,-0.2580496
A22T141.4_12,A22T141,51.445398,-0.2580496
A22T141.4_13,A22T141,51.445398,-0.2580496
A22T141.4_14,A22T141,51.445398,-0.2580496
A22T141.4_15,A22T141,51.445398,-0.2580496
A22T141.4_16,A22T141,51.445398,-0.2580496
A22T141.4_17,A22T141,51.445398,-0.2580496
A22T141.4_18,A22T141,51.445398,-0.2580496
A22T141.4_19,A22T141,51.445398,-0.2580496
A22T141.4_2,A22T141,51.445398,-0.2580496
A22T141.4_20,A22T141,51.445398,-0.2580496
A22T141.4_21,A22T141,51.445398,-0.2580496
A22T141.4_22,A22T141,51.445398,-0.2580496
A22T141.4_23,A22T141,51.445398,-0.2580496
A22T141.4_24,A22T141,51.445398,-0.2580496
A22T141.4_25,A22T141,51.445398,-0.2580496
A22T141.4_26,A22T141,51.445398,-0.2580496
A22T141.4_27,A22T141,51.445398,-0.2580496
A22T141.4_28,A22T141,51.445398,-0.2580496
A22T141.4_3,A22T141,51.445398,-0.2580496
A22T141.4_4,A22T141,51.445398,-0.2580496
A22T141.4_5,A22T141,51.445398,-0.2580496
A22T141.4_6,A22T141,51.445398,-0.2580496
A22T141.4_7,A22T141,51.445398,-0.2580496
A22T141.4_8,A22T141,51.445398,-0.2580496
A22T141.4_9,A22T141,51.445398,-0.2580496
A22T141.5_1,A22T141,51.445398,-0.2580496
A22T141.5_10,A22T141,51.445398,-0.2580496
