Sample,Nest,Latitude,Longitude
26b_87,26,51.38989996,-0.018943017
26b_88,26,51.38989996,-0.018943017
26b_89,26,51.38989996,-0.018943017
26b_9,26,51.38989996,-0.018943017
30a_1,30,51.38989996,-0.018943017
30a_10,30,51.38989996,-0.018943017
30a_11,30,51.38989996,-0.018943017
30a_12,30,51.38989996,-0.018943017
30a_13,30,51.38989996,-0.018943017
30a_14,30,51.38989996,-0.018943017
30a_15,30,51.38989996,-0.018943017
30a_16,30,51.38989996,-0.018943017
30a_17,30,51.38989996,-0.018943017
30a_18,30,51.38989996,-0.018943017
30a_19,30,51.38989996,-0.018943017
30a_2,30,51.38989996,-0.018943017
30a_20,30,51.38989996,-0.018943017
30a_21,30,51.38989996,-0.018943017
30a_22,30,51.38989996,-0.018943017
30a_23,30,51.38989996,-0.018943017
30a_24,30,51.38989996,-0.018943017
30a_25,30,51.38989996,-0.018943017
30a_26,30,51.38989996,-0.018943017
30a_27,30,51.38989996,-0.018943017
30a_28,30,51.38989996,-0.018943017
30a_29,30,51.38989996,-0.018943017
30a_3,30,51.38989996,-0.018943017
30a_30,30,51.38989996,-0.018943017
30a_31,30,51.38989996,-0.018943017
30a_32,30,51.38989996,-0.018943017
30a_33,30,51.38989996,-0.018943017
30a_34,30,51.38989996,-0.018943017
30a_35,30,51.38989996,-0.018943017
30a_36,30,51.38989996,-0.018943017
30a_37,30,51.38989996,-0.018943017
30a_38,30,51.38989996,-0.018943017
30a_39,30,51.38989996,-0.018943017
30a_4,30,51.38989996,-0.018943017
30a_40,30,51.38989996,-0.018943017
30a_41,30,51.38989996,-0.018943017
30a_42,30,51.38989996,-0.018943017
30a_43,30,51.38989996,-0.018943017
30a_44,30,51.38989996,-0.018943017
30a_45,30,51.38989996,-0.018943017
30a_46,30,51.38989996,-0.018943017
30a_47,30,51.38989996,-0.018943017
30a_48,30,51.38989996,-0.018943017
30a_49,30,51.38989996,-0.018943017
30a_5,30,51.38989996,-0.018943017
30a_50,30,51.38989996,-0.018943017
30a_51,30,51.38989996,-0.018943017
30a_52,30,51.38989996,-0.018943017
30a_53,30,51.38989996,-0.018943017
30a_54,30,51.38989996,-0.018943017
30a_55,30,51.38989996,-0.018943017
